Query,Intent
What payment methods do you accept?,Account Help
Is my order confirmed?,Product Replacement
Why is my payment failing?,Password Reset
Can I change my delivery address?,Order Confirmation
How do I reset my password?,Order Status
How can I get a refund?,Return Policy
How do I reset my password?,Return Policy
I need help with my account.,Change Address
Where is my order?,Order Status
My coupon code is not working.,Password Reset
How can I get a refund?,Discount Inquiry
Why is my payment failing?,Store Hours
What is your exchange policy?,International Shipping
What payment methods do you accept?,Payment Methods
Do you have a customer support number?,Payment Issue
Can I change my delivery address?,Order Status
What is your exchange policy?,International Shipping
Why is my payment failing?,Payment Issue
What payment methods do you accept?,Password Reset
How long does shipping take?,Return Policy
Where is my order?,Payment Methods
Why is my payment failing?,Change Address
Why is my payment failing?,Order Tracking
How do I reset my password?,Discount Inquiry
What is your return policy?,Exchange Policy
What is your return policy?,Return Policy
I want to cancel my order.,International Shipping
Is there a discount available?,Order Tracking
What are your store hours?,Order Status
Where is my order?,Refund
Can I change my delivery address?,Payment Methods
Why is my payment failing?,Password Reset
How can I get a refund?,Change Address
Is there a discount available?,Payment Issue
How do I reset my password?,Customer Support
How long does shipping take?,Cancel Order
How long does shipping take?,Change Address
How do I reset my password?,Order Confirmation
Do you have a customer support number?,Cancel Order
Is there a discount available?,Payment Issue
I need help with my account.,Password Reset
I need help with my account.,Payment Methods
My coupon code is not working.,Refund
My coupon code is not working.,Order Status
Why is my payment failing?,Return Policy
How can I get a refund?,Exchange Policy
My coupon code is not working.,Customer Support
How can I get a refund?,International Shipping
What is your return policy?,Payment Issue
Can I change my delivery address?,Password Reset
Do you offer international shipping?,Product Replacement
Do you offer international shipping?,Password Reset
What are your store hours?,Warranty Inquiry
Is my order confirmed?,Return Policy
Do you have a warranty on your products?,Exchange Policy
Do you have a warranty on your products?,Product Replacement
Is my order confirmed?,Payment Methods
Why is my payment failing?,Order Confirmation
My coupon code is not working.,Payment Issue
Where is my order?,Return Policy
What are your store hours?,Order Status
Where is my order?,Product Replacement
What are your store hours?,Payment Issue
Can I change my delivery address?,Discount Inquiry
Is my order confirmed?,Store Hours
What are your store hours?,International Shipping
How long does shipping take?,Password Reset
Can I get a replacement for a damaged product?,Customer Support
Why is my payment failing?,Warranty Inquiry
How do I track my order?,Discount Inquiry
My coupon code is not working.,Order Confirmation
My coupon code is not working.,Shipping Time
Do you offer international shipping?,Password Reset
Do you have a warranty on your products?,Order Confirmation
How can I get a refund?,Payment Methods
Where is my order?,Shipping Time
I need help with my account.,International Shipping
How long does shipping take?,Order Confirmation
Is there a discount available?,Order Tracking
Is my order confirmed?,Store Hours
I need help with my account.,Product Replacement
Do you offer international shipping?,Product Replacement
Do you have a customer support number?,Order Confirmation
Can I get a replacement for a damaged product?,Payment Methods
Is there a discount available?,Payment Issue
Is my order confirmed?,Discount Inquiry
What are your store hours?,Exchange Policy
I need help with my account.,Customer Support
What payment methods do you accept?,Return Policy
Do you have a customer support number?,Payment Issue
How can I get a refund?,Password Reset
My coupon code is not working.,Return Policy
My coupon code is not working.,Cancel Order
How can I get a refund?,Order Tracking
I want to cancel my order.,Payment Methods
Do you have a customer support number?,Order Confirmation
How do I reset my password?,Change Address
Is there a discount available?,Product Replacement
How long does shipping take?,Customer Support
Do you offer international shipping?,International Shipping
What is your return policy?,Order Tracking
Do you offer international shipping?,Store Hours
Do you have a warranty on your products?,Exchange Policy
Where is my order?,Password Reset
Where is my order?,Payment Issue
Can I change my delivery address?,Account Help
Why is my payment failing?,Payment Methods
Do you offer international shipping?,Cancel Order
Where is my order?,Payment Issue
How long does shipping take?,Password Reset
Where is my order?,International Shipping
Why is my payment failing?,Coupon Issue
Can I get a replacement for a damaged product?,Cancel Order
What are your store hours?,Order Confirmation
